     Nodes                Values
V_U1.R339[U1.16                -712.27mV
V_U1.R340[U1.11                   -1.49V
V_U1.R341[U1.10                 706.42mV
V_U1.R343[U1.51                -767.08mV
V_U1.R344[U1.34                     2.5V
V_U1.R345[U1.94                    2.47V
V_U1.R81[U1.10,                   -5.5uV
V_U1.R82[0,U1.1                  -30.5uV
V_U1.R84[U1.12,                       0V
V_U1.R85[U1.14,                    -20uV
V_U1.R86[U1.16,                    -20uV
V_U1.R88[U1.22,                       5V
V_U1.R89[U1.23,                       0V
V_U1.R90[U1.24,                  10.22mV
V_U1.R91[0,U1.2                -499.95uV
V_U1.R92[0,U1.2                       0V
V_U1.R93[0,U1.2                  -1.02uV
V_U1.R94[U1.30,                  10.22mV
V_U1.R95[U1.25,                  10.22mV
V_U1.R96[U1.46,                 -70.71nV
V_U1.R97[U1.47,                 148.76nV
V_U1.R98[U1.34,                -772.47mV
V_U1.R99[U1.16,                -131.81mV
V_U1.V118[U1.11                    400mV
V_U1.V120[U1.12                    700mV
V_U1.V121[U1.13                    73.5V
V_U1.V122[U1.12                    72.8V
V_U1.V123[U1.90                    -15mV
V_U1.V27[U1.20,                    -10uV
V_U1.V30[U1.50,                    800mV
V_U1.V45[U1.15,                    200mV
V_U1.V46[U1.53,                    200mV
V_U1.V55[U1.61,                    650mV
V_U1.V58[U1.81,                       0V
V_U1.V59[U1.111                       1V
V_U1.V79[U1.73,                       0V
V_U1.V80[U1.115                       0V
V_V1[1,0]                             5V
VF1                              25.63mV
VP_1                                  5V
VP_2                             20.37mV
VP_4                             20.43mV
VP_U1.10                              5V
VP_U1.100                          447mV
VP_U1.101                          -14mV
VP_U1.102                       843.58mV
VP_U1.103                       272.99mV
VP_U1.104                        20.43mV
VP_U1.105                          1.07V
VP_U1.106                          4.07V
VP_U1.107                          4.13V
VP_U1.108                          2.33V
VP_U1.109                           4.2V
VP_U1.11                          30.5uV
VP_U1.110                          -14mV
VP_U1.111                          1.84V
VP_U1.112                          4.09V
VP_U1.113                       425.63mV
VP_U1.114                             5V
VP_U1.115                             0V
VP_U1.116                        20.43mV
VP_U1.117                          2.33V
VP_U1.118                         3.04kV
VP_U1.119                          4.82V
VP_U1.12                           3.27V
VP_U1.120                          4.13V
VP_U1.121                          4.07V
VP_U1.122                       847.94uV
VP_U1.123                        20.43mV
VP_U1.124                        59.64mV
VP_U1.125                        655.1mV
VP_U1.126                        -44.9mV
VP_U1.127                         25.64V
VP_U1.128                         25.64V
VP_U1.129                         72.84V
VP_U1.13                           3.27V
VP_U1.130                          73.5V
VP_U1.131                         73.43V
VP_U1.132                        39.76mV
VP_U1.14                              5V
VP_U1.15                              5V
VP_U1.16                              0V
VP_U1.17                            20uV
VP_U1.18                        595.54mV
VP_U1.19                        595.54mV
VP_U1.20                          1.15uV
VP_U1.21                         20.44mV
VP_U1.22                              5V
VP_U1.23                              0V
VP_U1.24                         10.22mV
VP_U1.25                         10.22mV
VP_U1.26                        499.95uV
VP_U1.27                              0V
VP_U1.28                          1.02uV
VP_U1.29                        971.04pV
VP_U1.30                         20.44mV
VP_U1.31                          1.15uV
VP_U1.32                        971.04pV
VP_U1.33                             1uV
VP_U1.34                            2.5V
VP_U1.35                        175.98uV
VP_U1.36                           1.49V
VP_U1.37                          1.07mV
VP_U1.38                           4.29V
VP_U1.39                           4.29V
VP_U1.40                        131.81mV
VP_U1.41                         11.22uV
VP_U1.42                        828.37mV
VP_U1.43                         93.19mV
VP_U1.44                         20.44mV
VP_U1.45                        712.27mV
VP_U1.46                           4.29V
VP_U1.47                           1.49V
